,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years
15281859,S118FW,434332,385839,7635841,169000,2002-12-11 00:00,S,1039564800.0,2002.0
15612737,S89DD,434933,384063,22750973,155000,2017-10-20 00:00,O,1508454000.0,2017.0
15305090,S141AL,436854,382646,11472045,52500,2005-09-09 00:00,S,1126220400.0,2005.0
15536617,S71DU,434640,385107,19082714,220000,2014-07-04 00:00,D,1404428400.0,2014.0
15305782,S141LU,436768,384116,21305323,90000,2016-01-08 00:00,T,1452211200.0,2016.0
15536445,S71DH,434741,385350,23015492,165000,2017-12-08 00:00,O,1512691200.0,2017.0
15282809,S118QG,433603,385867,22883151,150000,2017-07-17 00:00,T,1500246000.0,2017.0
15322689,S23GX,435747,385416,24119120,168000,2018-11-02 00:00,T,1541116800.0,2018.0
15285214,S118ZP,433334,385722,12198720,110000,2005-03-21 00:00,T,1111363200.0,2005.0
15320502,S22BR,436771,384557,7135943,53000,2001-09-11 00:00,S,1000162800.0,2001.0
15322842,S23HB,435680,385468,20586540,117000,2015-03-27 00:00,T,1427414400.0,2015.0
15537398,S71HF,434462,385013,13249677,147000,2006-07-31 00:00,T,1154300400.0,2006.0
15539198,S72AY,434242,383960,7130468,47000,2001-04-19 00:00,S,987634800.0,2001.0
15605071,S80SU,434342,383838,14308802,159950,2007-10-08 00:00,F,1191798000.0,2007.0
15611594,S88RQ,434975,382834,13580457,182000,2006-11-08 00:00,D,1162944000.0,2006.0
15325237,S24RQ,435280,385862,14216769,173000,2007-06-12 00:00,F,1181602800.0,2007.0
15541351,S72PZ,433311,383054,9150303,129950,2003-08-14 00:00,F,1060815600.0,2003.0
15286598,S119FG,433141,384665,17604262,105000,2012-01-12 00:00,F,1326326400.0,2012.0
15612157,S88TB,434962,383411,15315372,124000,2008-05-15 00:00,T,1210806000.0,2008.0
15536041,S71BW,434820,385640,15018580,112500,2008-07-28 00:00,T,1217199600.0,2008.0
15611911,S88SX,434949,383289,12111138,106000,2005-05-12 00:00,T,1115852400.0,2005.0
15605568,S80ZL,434999,385273,15541891,125000,2008-02-27 00:00,T,1204070400.0,2008.0
15608748,S87UQ,434267,382199,21514796,180000,2016-06-20 00:00,S,1466377200.0,2016.0
15614749,S89NN,435605,383631,23076784,65000,2017-11-10 00:00,S,1510272000.0,2017.0
15536194,S71DD,434738,385609,6491436,70000,2001-09-11 00:00,T,1000162800.0,2001.0
15601839,S80DY,433881,382335,14658448,125000,2007-01-12 00:00,F,1168560000.0,2007.0
15320841,S22GF,436727,384914,17728707,77500,2012-03-16 00:00,S,1331856000.0,2012.0
15322532,S23GP,435733,385209,21261011,120000,2016-01-05 00:00,S,1451952000.0,2016.0
15611976,S88SY,434903,383343,20808157,127000,2015-10-26 00:00,T,1445817600.0,2015.0
15284963,S118YJ,433884,385687,6739591,95000,2001-07-13 00:00,T,994978800.0,2001.0
15323584,S23PY,436239,385288,19625565,65500,2014-01-28 00:00,S,1390867200.0,2014.0
15612051,S88TA,434891,383369,8264450,47500,2002-02-07 00:00,T,1013040000.0,2002.0
15611219,S88QL,435037,382966,6331915,62950,2001-05-18 00:00,S,990140400.0,2001.0
15537869,S71NB,434326,385571,16259378,290000,2010-09-10 00:00,D,1284073200.0,2010.0
15281275,S118AL,434786,385775,17009679,105000,2011-12-09 00:00,T,1323388800.0,2011.0
15613858,S89GE,435372,384325,19282315,130000,2014-07-04 00:00,T,1404428400.0,2014.0
15609915,S88HE,436194,382158,18254443,230000,2013-12-02 00:00,S,1385942400.0,2013.0
15610764,S88PR,435525,383087,18561709,70000,2013-07-15 00:00,T,1373842800.0,2013.0
15325151,S24NS,434903,385833,14480820,125000,2007-01-25 00:00,T,1169683200.0,2007.0
15323067,S23HL,435795,385038,9598518,69000,2003-08-15 00:00,T,1060902000.0,2003.0
15305151,S141AU,436970,382671,22621153,97000,2017-05-22 00:00,T,1495407600.0,2017.0
15284712,S118XW,433558,385639,7621082,63000,2002-06-11 00:00,T,1023750000.0,2002.0
